id	label	alternative term	super class	definition	definition source URI	comment	example of usage	editor note	obsoleted	obsolescence reason	term replaced by	contributor URI	link(s) to issue(s)	type
obo:VIBSO_0000009	groove density	groove frequency	physical quality	A physical quality inhering in a diffraction grating device by virtue of the device's function to diffract light. This quality specifically depends on the number of grooves per area of the grating device and is usually expressed in grooves per millimeter.	Wikipedia:Diffraction_grating|https://www.meetoptics.com/academy/groove-density#:~:text=The%20groove%20density%20(or%20groove,of%20the%20operational%20wavelength%20range			temp class until NTR in PATO has been accepted and merged (https://github.com/pato-ontology/pato/issues/541)				ORCID:0000-0002-1595-3213	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/45	owl:Class
obo:VIBSO_0000010	groove density setting		setting datum	A setting datum that specifies the number of grooves in a diffraction grating device.				This class should better be defined in a more general device ontology or a domain ontology with the scope of optical devices.				ORCID:0000-0002-1595-3213	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/45	owl:Class
obo:VIBSO_0000011	diffraction grating		device	A device that is an optical component with a periodic structure that diffracts light into several beams travelling in different directions (i.e. different diffraction angles)	https://en.wikipedia.org/wiki/Diffraction_grating			This class should better be defined in a more general device ontology or a domain ontology with the scope of optical devices.				ORCID:0000-0002-1595-3213	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/49	owl:Class
obo:VIBSO_0000012	deprecated_excitation wavelength			A physical quality of the light source that is used used to excite a system to a higher energy state.				This class is not needed, as PATO:wavelength is sufficient, if this quality of a Raman device is really needed.	true	failed exploratory term	wavelength	ORCID:0000-0002-1595-3213	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/48	owl:Class
obo:VIBSO_0000013	excitation wavelength setting		setting datum	A setting datum that specifies the wavelength of an electromagnetic radiation source (e.g. a laser) which has the function to excite the energy state of a target material.				This class should better be defined in a more general device ontology or a domain ontology with the scope of optical devices.				ORCID:0000-0002-1595-3213	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/48	owl:Class
obo:VIBSO_0000014	objective magnification factor setting	magnification|magnification setting	setting datum	A setting datum that specifies the magnification factor of the objective collecting the scattered light.			100x					ORCID:0000-0002-1595-3213|ORCID:0000-0001-7694-5519|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/24 	owl:Class
obo:VIBSO_0000015	spectral window range maximum	acquisition band maximum	data item|('part of' some 'Raman spectrum')	A data item that is the part of a Raman spectrum which represents the maximum wavenumber included in the spectrum and which is calculated from the windows size and window center.			210 cm^-1	It needs to be determined, if this is also part of another kind of spectrum, such as a vibrational spectrum in general. We also need to decide, if we need to also model the terms window size and window center, from which this term is derived.				ORCID:0000-0002-1595-3213|ORCID:0000-0001-7694-5519	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/31	owl:Class
obo:VIBSO_0000016	spectral window range minimum	acquisition band minimum	data item|('part of' some 'Raman spectrum')	A data item that is the part of a Raman spectrum which represents the minimum wavenumber included in the spectrum and which is calculated from the windows size and window center.			1960 cm^-1	It needs to be determined, if this is also part of another kind of spectrum, such as a vibrational spectrum in general. We also need to decide, if we need to also model the terms window size and window center, from which this term is derived.				ORCID:0000-0002-1595-3213|ORCID:0000-0001-7694-5519	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/31	owl:Class
obo:VIBSO_0000017	incident light power datum	excitation light power|light power on the sample	scalar measurement datum	A scalar measurement datum that is the result of measuring the incoming light power before the sample holder and which depends on the laser power and on the dispersive behaviour of the filters and optical components.		The incident power is an elementary measurement parameter allowing to compare among measurements conducted with the same setup. A thorough investigation of the effects of light irradiation onto the sample depends on the local irradiance (power per unit area) and requires deeper knowledge of the irradiation geometry, e.g. width, depth and shape of the focal spot.	200 mW					ORCID:0000-0001-7694-5519	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/29	owl:Class
obo:VIBSO_0000018	region of interest	imaging region of interest|ROI	site	A site that refers to a user-defined portion of the image area in which data will be acquired. The remainder of the image area will be discarded.	https://wiki.charisma.ideaconsult.net/wiki/Item:Q57			See also https://w3id.org/reproduceme#ROI & http://purl.obolibrary.org/obo/NCIT_C85402				ORCID:0000-0001-7694-5519|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/32	owl:Class
obo:VIBSO_0000019	region of interest width	ROI width|ROI horizontal length	setting datum	A setting datum that specifies the width (length in the X direction) of the region of interest.		region of interest width = (point distance X) * (number of measurements X)	1 mm					ORCID:0000-0001-7694-5519|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/32	owl:Class
obo:VIBSO_0000020	region of interest breadth	ROI breadth|ROI lateral length	setting datum	A setting datum that specifies the height (length in the Y direction) of the region of interest.		region of interest breadth = (point distance Y) * (number of measurements Y)	0.5 mm					ORCID:0000-0001-7694-5519|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/32	owl:Class
obo:VIBSO_0000021	region of interest depth	ROI depth|ROI vertical length	setting datum	A setting datum that specifies the depth (length in the Z direction) of the region of interest.		region of interest depth = (point distance Z) * (number of measurements Z)	0.1 mm					ORCID:0000-0001-7694-5519|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/32	owl:Class
obo:VIBSO_0000022	point distance X	sampling pace in the X direction|sampling step in the X direction|voxel distance in the X direction	setting datum	A setting datum that specifies the equal distance which the incident light beam will be moved laterally in the X direction on a given sample within the region of interest after each measurement, when performing a spatially resolved spectroscopy.		point distance X = (region of interest width) / (number of measurements X)	20 µm					ORCID:0000-0001-7694-5519|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/32	owl:Class
obo:VIBSO_0000023	point distance Y	sampling pace in the Y direction|sampling step in the Y direction|voxel distance in the Y direction	setting datum	A setting datum that specifies the equal distance which the incident light beam will be moved laterally in the Y direction on a given sample within the region of interest after each measurement, when performing a spatially resolved spectroscopy.		point distance Y = (region of interest breadth) / (number of measurements Y)	10 µm					ORCID:0000-0001-7694-5519|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/32	owl:Class
obo:VIBSO_0000024	point distance Z	sampling pace in the Z direction|sampling step in the Z direction|voxel distance in the Z direction|vertical mapping distance|axial mapping distance	setting datum	A setting datum that specifies the equal distance which the incident light beam will moved along the focal axis within the region of interest, when performing a spatially resolved spectroscopy.		point distance Z = (region of interest depth) / (number of measurements Z)	10 µm					ORCID:0000-0001-7694-5519|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/32	owl:Class
obo:VIBSO_0000025	number of measurements X	number of points in the X direction|number of points per line	setting datum	A setting datum that specifies how many equally configured measurements of a sample are to be performed along the X-axis of a certain region of interest. Together with the point distance X, this setting defines the region of interest width.		number of measurements X = (region of interest width) / (point distance X)	50					ORCID:0000-0001-7694-5519|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/32	owl:Class
obo:VIBSO_0000026	number of measurements Y	number of points in the Y direction|number of lines per layer	setting datum	A setting datum that specifies how many equally configured measurements of a sample are to be performed along the Y-axis of a certain region of interest. Together with the point distance Y, this setting defines the region of interest breadth.		number of measurements Y = (region of interest breadth) / (point distance Y)	100					ORCID:0000-0001-7694-5519|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/32	owl:Class
obo:VIBSO_0000027	number of measurements Z	number of points in the Z direction|number of layers per acquisition	setting datum	A setting datum that specifies how many equally configured measurements of a sample are to be performed in the vertical direction (on the Z-axis) of a certain region of interest. Together with the focal point distance, this setting defines the region of interest depth.		number of measurements Z = (region of interest depth) / (point distance Z)	10					ORCID:0000-0001-7694-5519|ORCID:0000-0002-2239-3956	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/32	owl:Class
obo:VIBSO_0000028	Raman raw data	raw Raman data	measurement datum	A measurement datum that is obtained from a calibrated and ready Raman spectrometer and prior to be submitted to any mathematical modification. The only corrections on the data shall be the one associated with the spectrometer. The data will assign pixels readouts with nm as per calibration of the spectrometer and a.u. as intensity readout but will not be corrected in relationship of the incident monochromatic beam.	https://wiki.charisma.ideaconsult.net/wiki/Item:Q64							ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/77	owl:Class
obo:VIBSO_0000029	lens numerical aperture	numerical aperture	setting datum	A setting datum that, as a dimensionless number, represents the quality which characterizes the range of angles over which an optical system can accept or emit light [dc:source wikidata:Numerical_aperture]. It gets calculated by the sine of one half of the vertex angle of the largest cone of meridional rays that can enter or leave an optical system or element, multiplied by the refractive index of the medium in which the cone is located.	https://wiki.charisma.ideaconsult.net/wiki/Item:Q385|https://en.wikipedia.org/wiki/Numerical_aperture		The light was focused onto the embedded sample using a 100× objective with a numerical aperture of 0.9, resulting in a diffraction-limited in-plane laser spot size of <1 μm.	possible equivalents in other terminologies: http://purl.obolibrary.org/obo/NCIT_C181921 & https://w3id.org/reproduceme#LensNA				ORCID:0000-0002-1595-3213|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/76	owl:Class
obo:VIBSO_0000030	primary Raman data		'data item'|(is_specified_output_of some ('data transformation' and (has_specified_input some 'Raman raw data')))	A data item that is obtained by processing raw Raman data.								ORCID:0000-0002-1595-3213|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/132	owl:Class
obo:VIBSO_0000031	resolution		physical quality	A physical quality of a measurement device that expresses (realizes) the device's capacity to distinguish between two distinct but closely related measurements of the same physical quality or type, often quantified as the smallest detectable difference (resolution interval) between measured values.				This class is actually to general for VIBSO's scope. It needs to be discussed with CHMO and OBI devs which of these is a better home, as there currently does not exist an optical device ontology within OBO Foundry. OBI contains most terms around optical devices so far. 				ORCID:0000-0003-2673-366X|ORCID:0000-0003-2673-366X|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/125	owl:Class
obo:VIBSO_0000032	resolution interval		data item|'is about' some resolution|'has value specification' some 'value specification'	A data item that quantifies a resolution, by representing the minimum measurable difference between two measurements of the same physical quality or type, such that the measurements can be distinguished as different.				This class is actually to general for VIBSO's scope. It needs to be discussed with CHMO and OBI devs which of these is a better home, as there currently does not exist an optical device ontology within OBO Foundry. OBI contains most terms around optical devices so far. 				ORCID:0000-0003-2673-366X|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/125	owl:Class
obo:VIBSO_0000033	resolution power		ratio	A ratio that quantifies the ability of a measurement device to distinguish between small differences in measurement values, expressed as the ratio between a typical measurement datum and the corresponding resolution interval.	ISBN 081946043-5			This class is actually to general for VIBSO's scope. It needs to be discussed with CHMO and OBI devs which of these is a better home, as there currently does not exist an optical device ontology within OBO Foundry. OBI contains most terms around optical devices so far. 				ORCID:0000-0003-2673-366X|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/125	owl:Class
obo:VIBSO_0000034	spatial resolution interval		resolution interval	A resolution interval that quantifies the minimum distance between two points such that they can be considered two separate points in a given microscope under specific experimental parameters.	ISBN 081946043-5			This class is actually to general for VIBSO's scope. It needs to be discussed with CHMO and OBI devs which of these is a better home, as there currently does not exist an optical device ontology within OBO Foundry. OBI contains most terms around optical devices so far. 				ORCID:0000-0003-2673-366X|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/125	owl:Class
obo:VIBSO_0000035	lateral resolution interval as angle		spatial resolution interval	A spatial resolution interval that quantifies the minimum angular separation between two points on a plane orthogonal to the light ray, expressed as an angle centered in the lens (Formula: δθ = 1.22 * λ / D).	ISBN 081946043-5	$δθ = 1.22\cdotλ/D$		This class is actually to general for VIBSO's scope. It needs to be discussed with CHMO and OBI devs which of these is a better home, as there currently does not exist an optical device ontology within OBO Foundry. OBI contains most terms around optical devices so far. 				ORCID:0000-0003-2673-366X|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/125	owl:Class
obo:VIBSO_0000036	lateral resolution interval as length		spatial resolution interval	A spatial resolution interval that quantifies the minimum linear separation between two points on a plane orthogonal to the light ray, expressed as the distance from the center of the optical spot (Formula: δr = 0.61 * λ / NA).	ISBN 081946043-5	$δr = 0.61\cdotλ/NA$ (Abbe formula, derived from the Rayleigh criterion with the Kirchhoff, Debye and paraxial approximation) $= 1.22 λ\cdot(f/\sharp)$		This class is actually to general for VIBSO's scope. It needs to be discussed with CHMO and OBI devs which of these is a better home, as there currently does not exist an optical device ontology within OBO Foundry. OBI contains most terms around optical devices so far. 				ORCID:0000-0003-2673-366X|ORCID:0000-0003-2673-366X|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/125	owl:Class
obo:VIBSO_0000037	axial resolution interval as length		spatial resolution interval	A spatial resolution interval that quantifies the minimum measurable separation between two points along the axis of propagation of the light ray, expressed as a linear distance (Formula: δz = 2 ⋅ n ⋅ λ / NA²).	ISBN 081946043-5	$δz = 2\cdot n\cdotλ/NA²$		This class is actually to general for VIBSO's scope. It needs to be discussed with CHMO and OBI devs which of these is a better home, as there currently does not exist an optical device ontology within OBO Foundry. OBI contains most terms around optical devices so far. 				ORCID:0000-0003-2673-366X|ORCID:0000-0003-2673-366X|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/125	owl:Class
obo:VIBSO_0000038	spectral resolution interval		resolution interval	A resolution interval that quantifies the minimum separation between two narrow peaks in a spectrum such that they can be distinguished as two separate peaks.	ISBN 081946043-5			This class is actually to general for VIBSO's scope. It needs to be discussed with CHMO and OBI devs which of these is a better home, as there currently does not exist an optical device ontology within OBO Foundry. OBI contains most terms around optical devices so far. 				ORCID:0000-0003-2673-366X|ORCID:0000-0003-2673-366X|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/125	owl:Class
obo:VIBSO_0000039	spectral resolution interval as wavelength		spectral resolution interval	A spectral resolution interval that quantifies the minimum separation between two wavelengths such that they can be distinguished as different (Formula: δλ = λ / (n * N)).	https://wiki.charisma.ideaconsult.net/wiki/Item:Q22|https://wiki.charisma.ideaconsult.net/wiki/Item:Q200|ISBN 081946043-5	$δλ = λ / (n\cdot N) = RF\cdot Δλ\cdot WS / n$		This class is actually to general for VIBSO's scope. It needs to be discussed with CHMO and OBI devs which of these is a better home, as there currently does not exist an optical device ontology within OBO Foundry. OBI contains most terms around optical devices so far. 				ORCID:0000-0003-2673-366X|ORCID:0000-0003-2673-366X|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/125	owl:Class
obo:VIBSO_0000040	spectral resolution interval as wavenumber		spectral resolution interval	A spectral resolution interval that quantifies the minimum separation between two wavenumbers such that they can be distinguished as different (Formula: δν~ = δλ / λ²).	ISBN 081946043-5	$δ\barν$		This class is actually to general for VIBSO's scope. It needs to be discussed with CHMO and OBI devs which of these is a better home, as there currently does not exist an optical device ontology within OBO Foundry. OBI contains most terms around optical devices so far. 				ORCID:0000-0003-2673-366X|ORCID:0000-0003-2673-366X|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/125	owl:Class
obo:VIBSO_0000041	spectral resolution interval as frequency		spectral resolution interval	A spectral resolution interval that quantifies the minimum separation between two frequencies such that they can be distinguished as different (Formula: δν = c * δν~ = c * δλ / λ²).	ISBN 081946043-5	$δν$		This class is actually to general for VIBSO's scope. It needs to be discussed with CHMO and OBI devs which of these is a better home, as there currently does not exist an optical device ontology within OBO Foundry. OBI contains most terms around optical devices so far. 				ORCID:0000-0003-2673-366X|ORCID:0000-0003-2673-366X|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/125	owl:Class
obo:VIBSO_0000042	spectral resolution interval as energy		spectral resolution interval	A spectral resolution interval that quantifies the minimum separation between two energy levels such that they can be distinguished as different (Formula: δE = h * δν = h * c * δν~ = h * c * δλ / λ²).	ISBN 081946043-5	$δE$		This class is actually to general for VIBSO's scope. It needs to be discussed with CHMO and OBI devs which of these is a better home, as there currently does not exist an optical device ontology within OBO Foundry. OBI contains most terms around optical devices so far. 				ORCID:0000-0003-2673-366X|ORCID:0000-0003-2673-366X|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/125	owl:Class
obo:VIBSO_0000043	radiometric resolution interval		resolution interval	A resolution interval that quantifies the minimum difference in irradiated energy, often coded as gray level in a grayscale or look-up-table (LUT).	ISBN 081946043-5			This class is actually to general for VIBSO's scope. It needs to be discussed with CHMO and OBI devs which of these is a better home, as there currently does not exist an optical device ontology within OBO Foundry. OBI contains most terms around optical devices so far. 				ORCID:0000-0003-2673-366X|ORCID:0000-0003-2673-366X|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/125	owl:Class
obo:VIBSO_0000044	temporal resolution interval		resolution interval	A resolution interval that quantifies the temporal separation between two measurements or frames, often expressed as the inverse of the frame rate. In techniques where temporal resolution is not directly derived from frame rate, it quantifies the minimum temporal interval between two resolvable events.	ISBN 081946043-5	In techniques where the temporal resolution is not given directly from a temporal distance between subsequent measurements (e.g., pulsed time resolved pump-probe techniques), it can be used more properly as defined above		This class is actually to general for VIBSO's scope. It needs to be discussed with CHMO and OBI devs which of these is a better home, as there currently does not exist an optical device ontology within OBO Foundry. OBI contains most terms around optical devices so far. 				ORCID:0000-0003-2673-366X|ORCID:0000-0003-2673-366X|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/125	owl:Class
obo:VIBSO_0000045	diffraction limit		spatial resolution interval	A spatial resolution interval that quantifies the theoretical maximum spatial resolution achievable by an optical system, constrained by the diffraction of light. 	ISO/DIS 18115-3, https://www.iso.org/obp/ui#d25805417e256	The Abbe diffraction limit, is defined as λ/ (2 NA) in which λ is the wavelength of the illuminating light and NA is the numerical aperture.		This class is actually to general for VIBSO's scope. It needs to be discussed with CHMO and OBI devs which of these is a better home, as there currently does not exist an optical device ontology within OBO Foundry. OBI contains most terms around optical devices so far. 				ORCID:0000-0003-2673-366X|ORCID:0000-0003-2673-366X|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/125	owl:Class
obo:VIBSO_0000051	absorbance	extinction	data item|('is about' some obo:PATO_0001293)	A data item that quantifies the absorption of light by some material as the logarithm of the incident electromagnetic radiation power (before absorption), divided by the transmitted electromagnetic radiation power (after absorption).	https://doi.org/10.1351/goldbook|http://purl.allotrope.org/ontologies/result#AFR_0001157|https://en.wikipedia.org/wiki/Absorbance	Definition was adapted from “afo:absorbance“. We did not reuse/import this AFO term directly due to the associated ontological commitment of AFO. Yet, we will provide a mapping.						ORCID:0000-0002-1595-3213	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/86	owl:Class
obo:VIBSO_0003017	spectral window center		setting datum|'is_specified_output_of' some 'center calculation data transformation'	A setting datum that specifies the middle wavelength/wavenumber of a spectrum, equal to the average of the maximum and minimum of the spectral window range utilized during the acquisition of spectroscopic data. It corresponds to the optimal alignment or centering of the spectrometer to ensure that the most relevant spectral features are captured effectively within the defined acquisition range.			560 cm^-1					ORCID:0000-0002-1595-3213|ORCID:0000-0002-2239-3955	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/88	owl:Class
